year,month,country,value_fob_usd,trade_type,sector
2013,1,,39200.0,export,Metaliferos
2013,2,,175985.8,export,Metaliferos
2013,3,,595680.76,export,Metaliferos
2013,7,,10000.0,export,Metaliferos
2013,10,,10000.0,export,Metaliferos
2013,11,,400302.75,export,Metaliferos
2013,12,,211654.49,export,Metaliferos
2014,1,,125025.0,export,Metaliferos
2014,2,,5000.0,export,Metaliferos
2014,6,,10000.0,export,Metaliferos
2014,12,,10000.0,export,Metaliferos
2015,1,,40000.0,export,Metaliferos
2015,2,,10000.0,export,Metaliferos
2015,8,,2000.0,export,Metaliferos
2015,10,,1000.0,export,Metaliferos
2016,2,,60.0,export,Metaliferos
2016,9,,2000.0,export,Metaliferos
2016,11,,2040.0,export,Metaliferos
2017,1,,2000.0,export,Metaliferos
2017,2,,3000.0,export,Metaliferos
2017,3,,9411.45,export,Metaliferos
2017,4,,2000.0,export,Metaliferos
2017,6,,2000.0,export,Metaliferos
2017,7,,2000.0,export,Metaliferos
2017,8,,2000.0,export,Metaliferos
2017,9,,2000.0,export,Metaliferos
2017,10,,2000.0,export,Metaliferos
2017,11,,691764.73,export,Metaliferos
