date,year,month,price_usd,unit,mineral
1995-12-01,1995,12,11.85,Dólar por Libra (USD/lb),Uranio (U)
1996-01-01,1996,1,12.2,Dólar por Libra (USD/lb),Uranio (U)
1996-02-01,1996,2,15.75,Dólar por Libra (USD/lb),Uranio (U)
1996-03-01,1996,3,15.75,Dólar por Libra (USD/lb),Uranio (U)
1996-04-01,1996,4,15.99,Dólar por Libra (USD/lb),Uranio (U)
1996-05-01,1996,5,16.38,Dólar por Libra (USD/lb),Uranio (U)
1996-06-01,1996,6,16.5,Dólar por Libra (USD/lb),Uranio (U)
1996-07-01,1996,7,16.5,Dólar por Libra (USD/lb),Uranio (U)
1996-08-01,1996,8,16.46,Dólar por Libra (USD/lb),Uranio (U)
1996-09-01,1996,9,16.15,Dólar por Libra (USD/lb),Uranio (U)
1996-10-01,1996,10,15.74,Dólar por Libra (USD/lb),Uranio (U)
1996-11-01,1996,11,15.07,Dólar por Libra (USD/lb),Uranio (U)
1996-12-01,1996,12,14.76,Dólar por Libra (USD/lb),Uranio (U)
1997-01-01,1997,1,14.49,Dólar por Libra (USD/lb),Uranio (U)
1997-02-01,1997,2,13.81,Dólar por Libra (USD/lb),Uranio (U)
1997-03-01,1997,3,13.62,Dólar por Libra (USD/lb),Uranio (U)
1997-04-01,1997,4,12.82,Dólar por Libra (USD/lb),Uranio (U)
1997-05-01,1997,5,11.83,Dólar por Libra (USD/lb),Uranio (U)
1997-06-01,1997,6,10.94,Dólar por Libra (USD/lb),Uranio (U)
1997-07-01,1997,7,10.48,Dólar por Libra (USD/lb),Uranio (U)
1997-08-01,1997,8,10.39,Dólar por Libra (USD/lb),Uranio (U)
1997-09-01,1997,9,10.25,Dólar por Libra (USD/lb),Uranio (U)
1997-10-01,1997,10,11.28,Dólar por Libra (USD/lb),Uranio (U)
1997-11-01,1997,11,12.75,Dólar por Libra (USD/lb),Uranio (U)
1997-12-01,1997,12,12.5,Dólar por Libra (USD/lb),Uranio (U)
1998-01-01,1998,1,12.04,Dólar por Libra (USD/lb),Uranio (U)
1998-02-01,1998,2,11.38,Dólar por Libra (USD/lb),Uranio (U)
1998-03-01,1998,3,10.66,Dólar por Libra (USD/lb),Uranio (U)
1998-04-01,1998,4,10.75,Dólar por Libra (USD/lb),Uranio (U)
1998-05-01,1998,5,10.75,Dólar por Libra (USD/lb),Uranio (U)
1998-06-01,1998,6,10.75,Dólar por Libra (USD/lb),Uranio (U)
1998-07-01,1998,7,10.61,Dólar por Libra (USD/lb),Uranio (U)
1998-08-01,1998,8,10.5,Dólar por Libra (USD/lb),Uranio (U)
1998-09-01,1998,9,10.23,Dólar por Libra (USD/lb),Uranio (U)
1998-10-01,1998,10,9.61,Dólar por Libra (USD/lb),Uranio (U)
1998-11-01,1998,11,8.88,Dólar por Libra (USD/lb),Uranio (U)
1998-12-01,1998,12,8.49,Dólar por Libra (USD/lb),Uranio (U)
1999-01-01,1999,1,9.01,Dólar por Libra (USD/lb),Uranio (U)
1999-02-01,1999,2,9.2,Dólar por Libra (USD/lb),Uranio (U)
1999-03-01,1999,3,10.44,Dólar por Libra (USD/lb),Uranio (U)
1999-04-01,1999,4,10.85,Dólar por Libra (USD/lb),Uranio (U)
1999-05-01,1999,5,10.72,Dólar por Libra (USD/lb),Uranio (U)
1999-06-01,1999,6,10.56,Dólar por Libra (USD/lb),Uranio (U)
1999-07-01,1999,7,10.26,Dólar por Libra (USD/lb),Uranio (U)
1999-08-01,1999,8,10.11,Dólar por Libra (USD/lb),Uranio (U)
1999-09-01,1999,9,9.92,Dólar por Libra (USD/lb),Uranio (U)
1999-10-01,1999,10,9.76,Dólar por Libra (USD/lb),Uranio (U)
1999-11-01,1999,11,9.71,Dólar por Libra (USD/lb),Uranio (U)
1999-12-01,1999,12,9.64,Dólar por Libra (USD/lb),Uranio (U)
2000-01-01,2000,1,9.55,Dólar por Libra (USD/lb),Uranio (U)
2000-02-01,2000,2,9.39,Dólar por Libra (USD/lb),Uranio (U)
2000-03-01,2000,3,9.31,Dólar por Libra (USD/lb),Uranio (U)
2000-04-01,2000,4,9.14,Dólar por Libra (USD/lb),Uranio (U)
2000-05-01,2000,5,8.5,Dólar por Libra (USD/lb),Uranio (U)
2000-06-01,2000,6,8.23,Dólar por Libra (USD/lb),Uranio (U)
2000-07-01,2000,7,8.1,Dólar por Libra (USD/lb),Uranio (U)
2000-08-01,2000,8,7.96,Dólar por Libra (USD/lb),Uranio (U)
2000-09-01,2000,9,7.57,Dólar por Libra (USD/lb),Uranio (U)
