date,year,month,price_usd,unit,mineral
2019-09-01,2019,9,25.41,Dólar por Libra (USD/lb),Uranio (U)
2019-10-01,2019,10,24.92,Dólar por Libra (USD/lb),Uranio (U)
2019-11-01,2019,11,24.99,Dólar por Libra (USD/lb),Uranio (U)
2019-12-01,2019,12,25.62,Dólar por Libra (USD/lb),Uranio (U)
2020-01-01,2020,1,24.64,Dólar por Libra (USD/lb),Uranio (U)
2020-02-01,2020,2,24.69,Dólar por Libra (USD/lb),Uranio (U)
2020-03-01,2020,3,24.66,Dólar por Libra (USD/lb),Uranio (U)
2020-04-01,2020,4,29.96,Dólar por Libra (USD/lb),Uranio (U)
2020-05-01,2020,5,33.51,Dólar por Libra (USD/lb),Uranio (U)
2020-06-01,2020,6,33.09,Dólar por Libra (USD/lb),Uranio (U)
2020-07-01,2020,7,32.36,Dólar por Libra (USD/lb),Uranio (U)
2020-08-01,2020,8,31.38,Dólar por Libra (USD/lb),Uranio (U)
2020-09-01,2020,9,29.98,Dólar por Libra (USD/lb),Uranio (U)
2020-10-01,2020,10,29.64,Dólar por Libra (USD/lb),Uranio (U)
2020-11-01,2020,11,29.49,Dólar por Libra (USD/lb),Uranio (U)
2020-12-01,2020,12,29.77,Dólar por Libra (USD/lb),Uranio (U)
2021-01-01,2021,1,29.86,Dólar por Libra (USD/lb),Uranio (U)
2021-02-01,2021,2,28.66,Dólar por Libra (USD/lb),Uranio (U)
2021-03-01,2021,3,28.33,Dólar por Libra (USD/lb),Uranio (U)
2021-04-01,2021,4,29.75,Dólar por Libra (USD/lb),Uranio (U)
2021-05-01,2021,5,30.26,Dólar por Libra (USD/lb),Uranio (U)
2021-06-01,2021,6,32.14,Dólar por Libra (USD/lb),Uranio (U)
2021-07-01,2021,7,32.34,Dólar por Libra (USD/lb),Uranio (U)
2021-08-01,2021,8,32.15,Dólar por Libra (USD/lb),Uranio (U)
2021-09-01,2021,9,45.08,Dólar por Libra (USD/lb),Uranio (U)
2021-10-01,2021,10,38.48,Dólar por Libra (USD/lb),Uranio (U)
2021-11-01,2021,11,31.1,Dólar por Libra (USD/lb),Uranio (U)
2021-12-01,2021,12,36.13,Dólar por Libra (USD/lb),Uranio (U)
2022-01-01,2022,1,36.87,Dólar por Libra (USD/lb),Uranio (U)
2022-02-01,2022,2,35.83,Dólar por Libra (USD/lb),Uranio (U)
2022-03-01,2022,3,45.51,Dólar por Libra (USD/lb),Uranio (U)
2022-04-01,2022,4,48.7,Dólar por Libra (USD/lb),Uranio (U)
2022-05-01,2022,5,40.89,Dólar por Libra (USD/lb),Uranio (U)
2022-06-01,2022,6,40.33,Dólar por Libra (USD/lb),Uranio (U)
2022-07-01,2022,7,38.94,Dólar por Libra (USD/lb),Uranio (U)
2022-08-01,2022,8,39.8,Dólar por Libra (USD/lb),Uranio (U)
2022-09-01,2022,9,40.95,Dólar por Libra (USD/lb),Uranio (U)
2022-10-01,2022,10,41.3,Dólar por Libra (USD/lb),Uranio (U)
2022-11-01,2022,11,40.95,Dólar por Libra (USD/lb),Uranio (U)
2022-12-01,2022,12,47.68,Dólar por Libra (USD/lb),Uranio (U)
2023-01-01,2023,1,50.63,Dólar por Libra (USD/lb),Uranio (U)
2023-02-01,2023,2,50.93,Dólar por Libra (USD/lb),Uranio (U)
2023-03-01,2023,3,50.48,Dólar por Libra (USD/lb),Uranio (U)
2023-04-01,2023,4,52.93,Dólar por Libra (USD/lb),Uranio (U)
2023-05-01,2023,5,54.55,Dólar por Libra (USD/lb),Uranio (U)
2023-06-01,2023,6,56.1,Dólar por Libra (USD/lb),Uranio (U)
2023-07-01,2023,7,56.38,Dólar por Libra (USD/lb),Uranio (U)
2023-08-01,2023,8,59.93,Dólar por Libra (USD/lb),Uranio (U)
2023-09-01,2023,9,71.58,Dólar por Libra (USD/lb),Uranio (U)
2023-10-01,2023,10,74.38,Dólar por Libra (USD/lb),Uranio (U)
2023-11-01,2023,11,81.25,Dólar por Libra (USD/lb),Uranio (U)
2023-12-01,2023,12,91.0,Dólar por Libra (USD/lb),Uranio (U)
2024-01-01,2024,1,100.25,Dólar por Libra (USD/lb),Uranio (U)
2024-02-01,2024,2,95.0,Dólar por Libra (USD/lb),Uranio (U)
2024-03-01,2024,3,87.75,Dólar por Libra (USD/lb),Uranio (U)
2024-04-01,2024,4,89.0,Dólar por Libra (USD/lb),Uranio (U)
2024-05-01,2024,5,90.38,Dólar por Libra (USD/lb),Uranio (U)
2024-06-01,2024,6,84.25,Dólar por Libra (USD/lb),Uranio (U)
2024-07-01,2024,7,84.25,Dólar por Libra (USD/lb),Uranio (U)
2024-08-01,2024,8,78.5,Dólar por Libra (USD/lb),Uranio (U)
2024-09-01,2024,9,82.0,Dólar por Libra (USD/lb),Uranio (U)
2024-10-01,2024,10,80.5,Dólar por Libra (USD/lb),Uranio (U)
2024-11-01,2024,11,77.13,Dólar por Libra (USD/lb),Uranio (U)
2024-12-01,2024,12,72.63,Dólar por Libra (USD/lb),Uranio (U)
2025-01-01,2025,1,69.28,Dólar por Libra (USD/lb),Uranio (U)
2025-02-01,2025,2,65.03,Dólar por Libra (USD/lb),Uranio (U)
2025-03-01,2025,3,64.23,Dólar por Libra (USD/lb),Uranio (U)
2025-04-01,2025,4,67.73,Dólar por Libra (USD/lb),Uranio (U)
2025-05-01,2025,5,71.55,Dólar por Libra (USD/lb),Uranio (U)
2025-06-01,2025,6,78.5,Dólar por Libra (USD/lb),Uranio (U)
2025-07-01,2025,7,71.1,Dólar por Libra (USD/lb),Uranio (U)
2025-08-01,2025,8,75.13,Dólar por Libra (USD/lb),Uranio (U)
2025-09-01,2025,9,82.63,Dólar por Libra (USD/lb),Uranio (U)
2025-10-01,2025,10,80.0,Dólar por Libra (USD/lb),Uranio (U)
2025-11-01,2025,11,75.8,Dólar por Libra (USD/lb),Uranio (U)
2025-12-01,2025,12,81.55,Dólar por Libra (USD/lb),Uranio (U)
2026-01-01,2026,1,94.28,Dólar por Libra (USD/lb),Uranio (U)
2026-02-01,2026,2,86.95,Dólar por Libra (USD/lb),Uranio (U)
2026-03-01,2026,3,84.25,Dólar por Libra (USD/lb),Uranio (U)
2026-04-01,2026,4,86.35,Dólar por Libra (USD/lb),Uranio (U)
